rave_jitter,uniform_rave,use_rave,rave_exploration_bias,score
10.0,true,true,15,42
10.0,true,true,20,45
10.0,true,true,25,44
0.0,false,false,0,39
10.0,false,true,10,46
10.0,false,true,15,44
10.0,false,true,20,45
10.0,false,true,25,38
0.0,false,true,10,40
0.0,false,true,15,45
0.0,false,true,20,33
0.0,false,true,25,44
5.0,true,true,10,43
5.0,true,true,15,46
5.0,true,true,20,36
5.0,true,true,25,42
10.0,true,true,10,38
10.0,true,true,15,43
10.0,true,true,20,41
10.0,true,true,25,40
0.0,false,false,0,29
10.0,false,true,10,46
10.0,false,true,15,43
10.0,false,true,20,39
10.0,false,true,25,38
0.0,false,true,10,41
0.0,false,true,15,42
0.0,false,true,20,43
0.0,false,true,25,38
5.0,true,true,10,43
5.0,true,true,15,35
5.0,true,true,20,50
5.0,true,true,25,45
10.0,true,true,10,38
10.0,true,true,15,40
10.0,true,true,20,39
10.0,true,true,25,38
0.0,false,false,0,39
10.0,false,true,10,46
10.0,false,true,15,42
10.0,false,true,20,44
10.0,false,true,25,43
0.0,false,true,10,40
0.0,false,true,15,42
0.0,false,true,20,42
0.0,false,true,25,43
5.0,true,true,10,45
5.0,true,true,15,35
5.0,true,true,20,35
5.0,true,true,25,37
10.0,true,true,10,41
10.0,true,true,15,40
10.0,true,true,20,42
10.0,true,true,25,42
0.0,false,false,0,38
10.0,false,true,10,47
10.0,false,true,15,42
10.0,false,true,20,42
10.0,false,true,25,39
0.0,false,true,10,46
0.0,false,true,15,40
0.0,false,true,20,43
0.0,false,true,25,44
5.0,true,true,10,42
5.0,true,true,15,39
5.0,true,true,20,42
5.0,true,true,25,41
10.0,true,true,10,38
10.0,true,true,15,39
10.0,true,true,20,42
10.0,true,true,25,43
0.0,false,false,0,43
10.0,false,true,10,40
10.0,false,true,15,42
10.0,false,true,20,40
10.0,false,true,25,46
0.0,false,true,10,42
0.0,false,true,15,39
0.0,false,true,20,41
0.0,false,true,25,43
5.0,true,true,10,43
5.0,true,true,15,37
5.0,true,true,20,39
5.0,true,true,25,44
10.0,true,true,10,43
10.0,true,true,15,43
10.0,true,true,20,39
10.0,true,true,25,43
0.0,false,false,0,46
10.0,false,true,10,41
10.0,false,true,15,41
10.0,false,true,20,45
10.0,false,true,25,40
0.0,false,true,10,43
0.0,false,true,15,43
0.0,false,true,20,46
0.0,false,true,25,43
5.0,true,true,10,38
5.0,true,true,15,37
5.0,true,true,20,46
5.0,true,true,25,32
10.0,true,true,10,42
10.0,true,true,15,45
10.0,true,true,20,44
10.0,true,true,25,42
0.0,false,false,0,39
10.0,false,true,10,42
10.0,false,true,15,50
10.0,false,true,20,41
10.0,false,true,25,46
0.0,false,true,10,44
0.0,false,true,15,43
0.0,false,true,20,41
0.0,false,true,25,42
5.0,true,true,10,43
5.0,true,true,15,44
5.0,true,true,20,36
5.0,true,true,25,38
10.0,true,true,10,40
10.0,true,true,15,52
10.0,true,true,20,44
10.0,true,true,25,42
0.0,false,false,0,43
10.0,false,true,10,40
10.0,false,true,15,43
10.0,false,true,20,43
10.0,false,true,25,41
0.0,false,true,10,42
0.0,false,true,15,44
0.0,false,true,20,41
0.0,false,true,25,35
5.0,true,true,10,36
5.0,true,true,15,38
5.0,true,true,20,41
5.0,true,true,25,43
10.0,true,true,10,37
10.0,true,true,15,41
10.0,true,true,20,47
10.0,true,true,25,31
0.0,false,false,0,40
10.0,false,true,10,41
10.0,false,true,15,40
10.0,false,true,20,41
10.0,false,true,25,40
0.0,false,true,10,40
0.0,false,true,15,42
0.0,false,true,20,44
0.0,false,true,25,49
5.0,true,true,10,49
5.0,true,true,15,40
5.0,true,true,20,41
5.0,true,true,25,30
10.0,true,true,10,47
10.0,true,true,15,44
10.0,true,true,20,43
10.0,true,true,25,46
0.0,false,false,0,38
10.0,false,true,10,41
10.0,false,true,15,46
10.0,false,true,20,43
10.0,false,true,25,39
0.0,false,true,10,44
0.0,false,true,15,42
0.0,false,true,20,43
0.0,false,true,25,45
5.0,true,true,10,40
5.0,true,true,15,46
5.0,true,true,20,42
5.0,true,true,25,44
10.0,true,true,10,42
10.0,true,true,15,44
10.0,true,true,20,42
10.0,true,true,25,42
0.0,false,false,0,37
10.0,false,true,10,42
10.0,false,true,15,43
10.0,false,true,20,47
10.0,false,true,25,40
0.0,false,true,10,40
0.0,false,true,15,39
0.0,false,true,20,46
0.0,false,true,25,43
5.0,true,true,10,45
5.0,true,true,15,41
5.0,true,true,20,44
5.0,true,true,25,43
10.0,true,true,10,48
10.0,true,true,15,34
10.0,true,true,20,38
10.0,true,true,25,39
0.0,false,false,0,37
10.0,false,true,10,40
10.0,false,true,15,37
10.0,false,true,20,36
10.0,false,true,25,43
0.0,false,true,10,45
0.0,false,true,15,43
0.0,false,true,20,42
0.0,false,true,25,43
5.0,true,true,10,42
5.0,true,true,15,41
5.0,true,true,20,40
5.0,true,true,25,38
10.0,true,true,10,34
10.0,true,true,15,41
10.0,true,true,20,41
10.0,true,true,25,40
0.0,false,false,0,33
10.0,false,true,10,39
10.0,false,true,15,42
10.0,false,true,20,44
10.0,false,true,25,41
0.0,false,true,10,47
0.0,false,true,15,43
0.0,false,true,20,46
0.0,false,true,25,43
5.0,true,true,10,46
5.0,true,true,15,38
5.0,true,true,20,39
5.0,true,true,25,44
10.0,true,true,10,39
10.0,true,true,15,40
10.0,true,true,20,41
10.0,true,true,25,35
0.0,false,false,0,37
10.0,false,true,10,42
10.0,false,true,15,47
10.0,false,true,20,34
10.0,false,true,25,46
0.0,false,true,10,43
0.0,false,true,15,42
0.0,false,true,20,43
0.0,false,true,25,42
5.0,true,true,10,43
5.0,true,true,15,43
5.0,true,true,20,43
5.0,true,true,25,41
10.0,true,true,10,46
10.0,true,true,15,40
10.0,true,true,20,42
10.0,true,true,25,42
0.0,false,false,0,41
10.0,false,true,10,43
10.0,false,true,15,40
10.0,false,true,20,38
10.0,false,true,25,40
0.0,false,true,10,47
0.0,false,true,15,44
0.0,false,true,20,41
0.0,false,true,25,40
5.0,true,true,10,38
5.0,true,true,15,45
5.0,true,true,20,42
5.0,true,true,25,36
10.0,true,true,10,40
10.0,true,true,15,45
10.0,true,true,20,39
10.0,true,true,25,49
0.0,false,false,0,36
10.0,false,true,10,41
10.0,false,true,15,41
10.0,false,true,20,46
10.0,false,true,25,40
0.0,false,true,10,40
0.0,false,true,15,40
0.0,false,true,20,39
0.0,false,true,25,43
5.0,true,true,10,48
5.0,true,true,15,44
5.0,true,true,20,43
5.0,true,true,25,43
10.0,true,true,10,39
10.0,true,true,15,41
10.0,true,true,20,42
10.0,true,true,25,47
0.0,false,false,0,40
10.0,false,true,10,41
10.0,false,true,15,43
10.0,false,true,20,44
10.0,false,true,25,49
0.0,false,true,10,43
0.0,false,true,15,39
0.0,false,true,20,42
0.0,false,true,25,41
5.0,true,true,10,42
5.0,true,true,15,43
5.0,true,true,20,41
5.0,true,true,25,40
10.0,true,true,10,43
10.0,true,true,15,38
10.0,true,true,20,45
10.0,true,true,25,45
0.0,false,false,0,36
10.0,false,true,10,28
10.0,false,true,15,42
10.0,false,true,20,42
10.0,false,true,25,43
0.0,false,true,10,42
0.0,false,true,15,43
0.0,false,true,20,44
0.0,false,true,25,42
5.0,true,true,10,45
5.0,true,true,15,44
5.0,true,true,20,43
5.0,true,true,25,40
10.0,true,true,10,40
10.0,true,true,15,46
10.0,true,true,20,44
10.0,true,true,25,40
0.0,false,false,0,36
10.0,false,true,10,43
10.0,false,true,15,37
10.0,false,true,20,42
10.0,false,true,25,39
0.0,false,true,10,42
0.0,false,true,15,44
0.0,false,true,20,43
0.0,false,true,25,42
5.0,true,true,10,35
5.0,true,true,15,36
5.0,true,true,20,30
5.0,true,true,25,40
10.0,true,true,10,41
10.0,true,true,15,42
10.0,true,true,20,43
10.0,true,true,25,39
0.0,false,false,0,43
10.0,false,true,10,41
10.0,false,true,15,42
10.0,false,true,20,42
10.0,false,true,25,43
0.0,false,true,10,44
0.0,false,true,15,43
0.0,false,true,20,40
0.0,false,true,25,41
5.0,true,true,10,43
5.0,true,true,15,48
5.0,true,true,20,40
5.0,true,true,25,36
10.0,true,true,10,48
10.0,true,true,15,39
10.0,true,true,20,31
10.0,true,true,25,43
0.0,false,false,0,35
10.0,false,true,10,42
10.0,false,true,15,45
10.0,false,true,20,42
10.0,false,true,25,43
0.0,false,true,10,44
0.0,false,true,15,40
0.0,false,true,20,44
0.0,false,true,25,35
5.0,true,true,10,38
5.0,true,true,15,35
5.0,true,true,20,37
5.0,true,true,25,34
10.0,true,true,10,41
10.0,true,true,15,45
10.0,true,true,20,42
10.0,true,true,25,37
0.0,false,false,0,40
10.0,false,true,10,44
10.0,false,true,15,43
10.0,false,true,20,41
10.0,false,true,25,41
0.0,false,true,10,35
0.0,false,true,15,44
0.0,false,true,20,45
0.0,false,true,25,45
5.0,true,true,10,37
5.0,true,true,15,42
5.0,true,true,20,37
5.0,true,true,25,27
10.0,true,true,10,47
10.0,true,true,15,38
10.0,true,true,20,41
10.0,true,true,25,41
0.0,false,false,0,47
10.0,false,true,10,40
10.0,false,true,15,46
10.0,false,true,20,38
10.0,false,true,25,41
0.0,false,true,10,38
0.0,false,true,15,37
0.0,false,true,20,39
0.0,false,true,25,47
5.0,true,true,10,43
5.0,true,true,15,39
5.0,true,true,20,42
5.0,true,true,25,37
10.0,true,true,10,43
10.0,true,true,15,52
10.0,true,true,20,38
10.0,true,true,25,45
0.0,false,false,0,45
10.0,false,true,10,40
10.0,false,true,15,44
10.0,false,true,20,41
10.0,false,true,25,42
0.0,false,true,10,42
0.0,false,true,15,42
0.0,false,true,20,33
0.0,false,true,25,41
5.0,true,true,10,40
5.0,true,true,15,41
5.0,true,true,20,38
5.0,true,true,25,35
10.0,true,true,10,43
10.0,true,true,15,37
10.0,true,true,20,42
10.0,true,true,25,42
0.0,false,false,0,29
10.0,false,true,10,36
10.0,false,true,15,37
10.0,false,true,20,45
10.0,false,true,25,41
0.0,false,true,10,47
0.0,false,true,15,43
0.0,false,true,20,41
0.0,false,true,25,43
5.0,true,true,10,42
5.0,true,true,15,39
5.0,true,true,20,42
5.0,true,true,25,41
10.0,true,true,10,43
10.0,true,true,15,37
10.0,true,true,20,34
10.0,true,true,25,45
0.0,false,false,0,30
10.0,false,true,10,45
10.0,false,true,15,44
10.0,false,true,20,45
10.0,false,true,25,44
0.0,false,true,10,42
0.0,false,true,15,39
0.0,false,true,20,43
0.0,false,true,25,42
5.0,true,true,10,41
5.0,true,true,15,44
5.0,true,true,20,41
5.0,true,true,25,42
10.0,true,true,10,44
10.0,true,true,15,33
10.0,true,true,20,47
10.0,true,true,25,43
0.0,false,false,0,40
10.0,false,true,10,44
10.0,false,true,15,44
10.0,false,true,20,40
10.0,false,true,25,40
0.0,false,true,10,46
0.0,false,true,15,41
0.0,false,true,20,44
0.0,false,true,25,42
5.0,true,true,10,42
5.0,true,true,15,39
5.0,true,true,20,36
5.0,true,true,25,35
10.0,true,true,10,40
10.0,true,true,15,39
10.0,true,true,20,35
10.0,true,true,25,43
0.0,false,false,0,36
10.0,false,true,10,42
10.0,false,true,15,46
10.0,false,true,20,41
10.0,false,true,25,43
0.0,false,true,10,44
0.0,false,true,15,38
0.0,false,true,20,46
0.0,false,true,25,38
5.0,true,true,10,41
5.0,true,true,15,44
5.0,true,true,20,48
5.0,true,true,25,42
10.0,true,true,10,35
10.0,true,true,15,49
10.0,true,true,20,42
10.0,true,true,25,36
0.0,false,false,0,41
10.0,false,true,10,40
10.0,false,true,15,40
10.0,false,true,20,28
10.0,false,true,25,41
0.0,false,true,10,42
0.0,false,true,15,39
0.0,false,true,20,40
0.0,false,true,25,41
5.0,true,true,10,45
5.0,true,true,15,43
5.0,true,true,20,42
5.0,true,true,25,40
10.0,true,true,10,40
10.0,true,true,15,44
10.0,true,true,20,56
10.0,true,true,25,47
0.0,false,false,0,45
10.0,false,true,10,38
10.0,false,true,15,43
10.0,false,true,20,42
10.0,false,true,25,42
0.0,false,true,10,48
0.0,false,true,15,45
0.0,false,true,20,42
0.0,false,true,25,44
5.0,true,true,10,40
5.0,true,true,15,42
5.0,true,true,20,43
5.0,true,true,25,42
10.0,true,true,10,29
10.0,true,true,15,39
10.0,true,true,20,43
10.0,true,true,25,44
0.0,false,false,0,43
10.0,false,true,10,38
10.0,false,true,15,43
10.0,false,true,20,41
10.0,false,true,25,40
0.0,false,true,10,41
0.0,false,true,15,40
0.0,false,true,20,38
0.0,false,true,25,45
5.0,true,true,10,42
5.0,true,true,15,41
5.0,true,true,20,48
5.0,true,true,25,43
10.0,true,true,10,45
10.0,true,true,15,42
10.0,true,true,20,39
10.0,true,true,25,41
0.0,false,false,0,34
10.0,false,true,10,42
10.0,false,true,15,39
10.0,false,true,20,50
10.0,false,true,25,37
0.0,false,true,10,47
0.0,false,true,15,40
0.0,false,true,20,37
0.0,false,true,25,43
5.0,true,true,10,36
5.0,true,true,15,36
5.0,true,true,20,43
5.0,true,true,25,43
10.0,true,true,10,38
10.0,true,true,15,43
10.0,true,true,20,41
10.0,true,true,25,41
0.0,false,false,0,27
10.0,false,true,10,42
10.0,false,true,15,45
10.0,false,true,20,47
10.0,false,true,25,43
0.0,false,true,10,38
0.0,false,true,15,49
0.0,false,true,20,37
0.0,false,true,25,49
5.0,true,true,10,39
5.0,true,true,15,43
5.0,true,true,20,31
5.0,true,true,25,45
10.0,true,true,10,45
10.0,true,true,15,43
10.0,true,true,20,44
10.0,true,true,25,41
0.0,false,false,0,45
10.0,false,true,10,48
10.0,false,true,15,36
10.0,false,true,20,41
10.0,false,true,25,46
0.0,false,true,10,47
0.0,false,true,15,40
0.0,false,true,20,40
0.0,false,true,25,39
5.0,true,true,10,40
5.0,true,true,15,49
5.0,true,true,20,41
5.0,true,true,25,45
10.0,true,true,10,40
10.0,true,true,15,44
10.0,true,true,20,50
10.0,true,true,25,38
0.0,false,false,0,32
10.0,false,true,10,42
10.0,false,true,15,41
10.0,false,true,20,38
10.0,false,true,25,41
0.0,false,true,10,43
0.0,false,true,15,32
0.0,false,true,20,41
0.0,false,true,25,42
5.0,true,true,10,40
5.0,true,true,15,39
5.0,true,true,20,35
5.0,true,true,25,41
10.0,true,true,10,43
10.0,true,true,15,41
10.0,true,true,20,43
10.0,true,true,25,41
0.0,false,false,0,38
10.0,false,true,10,42
10.0,false,true,15,35
10.0,false,true,20,41
10.0,false,true,25,40
0.0,false,true,10,35
0.0,false,true,15,40
0.0,false,true,20,43
0.0,false,true,25,44
5.0,true,true,10,39
5.0,true,true,15,39
5.0,true,true,20,47
5.0,true,true,25,41
10.0,true,true,10,42
10.0,true,true,15,46
10.0,true,true,20,40
10.0,true,true,25,45
0.0,false,false,0,44
10.0,false,true,10,32
10.0,false,true,15,38
10.0,false,true,20,39
10.0,false,true,25,41
0.0,false,true,10,41
0.0,false,true,15,42
0.0,false,true,20,39
0.0,false,true,25,44
5.0,true,true,10,37
5.0,true,true,15,39
5.0,true,true,20,40
5.0,true,true,25,36
10.0,true,true,10,32
10.0,true,true,15,42
10.0,true,true,20,26
10.0,true,true,25,38
0.0,false,false,0,43
10.0,false,true,10,41
10.0,false,true,15,39
10.0,false,true,20,42
10.0,false,true,25,46
0.0,false,true,10,43
0.0,false,true,15,46
0.0,false,true,20,44
0.0,false,true,25,45
5.0,true,true,10,40
5.0,true,true,15,46
5.0,true,true,20,40
5.0,true,true,25,41
10.0,true,true,10,39
10.0,true,true,15,38
10.0,true,true,20,34
10.0,true,true,25,46
0.0,false,false,0,31
10.0,false,true,10,42
10.0,false,true,15,44
10.0,false,true,20,44
10.0,false,true,25,42
0.0,false,true,10,35
0.0,false,true,15,39
0.0,false,true,20,42
0.0,false,true,25,43
5.0,true,true,10,45
5.0,true,true,15,43
5.0,true,true,20,37
5.0,true,true,25,42
10.0,true,true,10,40
10.0,true,true,15,42
10.0,true,true,20,39
10.0,true,true,25,44
0.0,false,false,0,39
10.0,false,true,10,42
10.0,false,true,15,39
10.0,false,true,20,36
10.0,false,true,25,41
0.0,false,true,10,45
0.0,false,true,15,43
0.0,false,true,20,38
0.0,false,true,25,36
5.0,true,true,10,38
5.0,true,true,15,43
5.0,true,true,20,44
5.0,true,true,25,43
10.0,true,true,10,39
10.0,true,true,15,40
10.0,true,true,20,47
10.0,true,true,25,46
0.0,false,false,0,35
10.0,false,true,10,44
10.0,false,true,15,44
10.0,false,true,20,48
10.0,false,true,25,44
0.0,false,true,10,39
0.0,false,true,15,50
0.0,false,true,20,42
0.0,false,true,25,41
5.0,true,true,10,40
5.0,true,true,15,37
5.0,true,true,20,42
5.0,true,true,25,42
10.0,true,true,10,39
10.0,true,true,15,42
10.0,true,true,20,42
10.0,true,true,25,46
0.0,false,false,0,44
10.0,false,true,10,39
10.0,false,true,15,42
10.0,false,true,20,40
10.0,false,true,25,41
0.0,false,true,10,36
0.0,false,true,15,41
0.0,false,true,20,42
0.0,false,true,25,42
5.0,true,true,10,51
5.0,true,true,15,34
5.0,true,true,20,51
5.0,true,true,25,42
10.0,true,true,10,38
10.0,true,true,15,49
10.0,true,true,20,37
10.0,true,true,25,48
0.0,false,false,0,32
10.0,false,true,10,44
10.0,false,true,15,43
10.0,false,true,20,47
10.0,false,true,25,34
0.0,false,true,10,41
0.0,false,true,15,42
0.0,false,true,20,42
0.0,false,true,25,47
5.0,true,true,10,39
5.0,true,true,15,45
5.0,true,true,20,45
5.0,true,true,25,39
10.0,true,true,10,39
10.0,true,true,15,44
10.0,true,true,20,39
10.0,true,true,25,49
0.0,false,false,0,51
10.0,false,true,10,45
10.0,false,true,15,35
10.0,false,true,20,38
10.0,false,true,25,40
0.0,false,true,10,47
0.0,false,true,15,48
0.0,false,true,20,49
0.0,false,true,25,42
5.0,true,true,10,48
5.0,true,true,15,38
5.0,true,true,20,40
5.0,true,true,25,43
10.0,true,true,10,42
10.0,true,true,15,43
10.0,true,true,20,33
10.0,true,true,25,48
0.0,false,false,0,45
10.0,false,true,10,44
10.0,false,true,15,39
10.0,false,true,20,38
10.0,false,true,25,41
0.0,false,true,10,43
0.0,false,true,15,42
0.0,false,true,20,40
0.0,false,true,25,40
5.0,true,true,10,40
5.0,true,true,15,40
5.0,true,true,20,30
5.0,true,true,25,41
10.0,true,true,10,42
10.0,true,true,15,34
10.0,true,true,20,43
10.0,true,true,25,41
0.0,false,false,0,41
10.0,false,true,10,44
10.0,false,true,15,36
10.0,false,true,20,46
10.0,false,true,25,43
0.0,false,true,10,41
0.0,false,true,15,40
0.0,false,true,20,41
0.0,false,true,25,44
5.0,true,true,10,49
5.0,true,true,15,46
5.0,true,true,20,38
5.0,true,true,25,42
10.0,true,true,10,40
10.0,true,true,15,43
10.0,true,true,20,43
10.0,true,true,25,43
0.0,false,false,0,51
10.0,false,true,10,40
10.0,false,true,15,44
10.0,false,true,20,42
10.0,false,true,25,45
0.0,false,true,10,42
0.0,false,true,15,41
0.0,false,true,20,41
0.0,false,true,25,43
5.0,true,true,10,40
5.0,true,true,15,43
5.0,true,true,20,45
5.0,true,true,25,42
10.0,true,true,10,41
10.0,true,true,15,41
10.0,true,true,20,46
10.0,true,true,25,36
0.0,false,false,0,36
10.0,false,true,10,34
10.0,false,true,15,37
10.0,false,true,20,42
10.0,false,true,25,43
0.0,false,true,10,48
0.0,false,true,15,44
0.0,false,true,20,43
0.0,false,true,25,38
5.0,true,true,10,43
5.0,true,true,15,41
5.0,true,true,20,42
5.0,true,true,25,41
10.0,true,true,10,47
10.0,true,true,15,44
10.0,true,true,20,37
10.0,true,true,25,38
0.0,false,false,0,38
10.0,false,true,10,44
10.0,false,true,15,43
10.0,false,true,20,41
10.0,false,true,25,41
0.0,false,true,10,45
0.0,false,true,15,43
0.0,false,true,20,43
0.0,false,true,25,36
5.0,true,true,10,42
5.0,true,true,15,47
5.0,true,true,20,42
5.0,true,true,25,42
10.0,true,true,10,48
10.0,true,true,15,46
10.0,true,true,20,47
10.0,true,true,25,37
0.0,false,false,0,29
10.0,false,true,10,42
10.0,false,true,15,43
10.0,false,true,20,38
10.0,false,true,25,43
0.0,false,true,10,36
0.0,false,true,15,42
0.0,false,true,20,44
0.0,false,true,25,42
5.0,true,true,10,41
5.0,true,true,15,35
5.0,true,true,20,44
5.0,true,true,25,43
10.0,true,true,10,31
10.0,true,true,15,46
10.0,true,true,20,42
10.0,true,true,25,43
0.0,false,false,0,40
10.0,false,true,10,39
10.0,false,true,15,45
10.0,false,true,20,41
10.0,false,true,25,44
0.0,false,true,10,43
0.0,false,true,15,43
0.0,false,true,20,37
0.0,false,true,25,41
5.0,true,true,10,41
5.0,true,true,15,40
5.0,true,true,20,46
5.0,true,true,25,43
10.0,true,true,10,28
10.0,true,true,15,43
10.0,true,true,20,47
10.0,true,true,25,40
0.0,false,false,0,47
10.0,false,true,10,48
10.0,false,true,15,42
10.0,false,true,20,39
10.0,false,true,25,43
0.0,false,true,10,44
0.0,false,true,15,43
0.0,false,true,20,40
0.0,false,true,25,43
5.0,true,true,10,37
5.0,true,true,15,43
5.0,true,true,20,40
5.0,true,true,25,39
10.0,true,true,10,42
10.0,true,true,15,44
10.0,true,true,20,41
10.0,true,true,25,41
0.0,false,false,0,45
10.0,false,true,10,40
10.0,false,true,15,43
10.0,false,true,20,35
10.0,false,true,25,40
0.0,false,true,10,41
0.0,false,true,15,41
0.0,false,true,20,43
0.0,false,true,25,44
5.0,true,true,10,41
5.0,true,true,15,40
5.0,true,true,20,37
5.0,true,true,25,41
10.0,true,true,10,39
10.0,true,true,15,43
10.0,true,true,20,42
10.0,true,true,25,42
0.0,false,false,0,43
10.0,false,true,10,41
10.0,false,true,15,44
10.0,false,true,20,34
10.0,false,true,25,42
0.0,false,true,10,42
0.0,false,true,15,41
0.0,false,true,20,42
0.0,false,true,25,41
5.0,true,true,10,47
5.0,true,true,15,43
5.0,true,true,20,35
5.0,true,true,25,43
10.0,true,true,10,44
10.0,true,true,15,35
10.0,true,true,20,41
10.0,true,true,25,44
0.0,false,false,0,40
10.0,false,true,10,44
10.0,false,true,15,31
10.0,false,true,20,43
10.0,false,true,25,41
0.0,false,true,10,42
0.0,false,true,15,42
0.0,false,true,20,41
0.0,false,true,25,44
5.0,true,true,10,37
5.0,true,true,15,41
5.0,true,true,20,42
5.0,true,true,25,41
10.0,true,true,10,35
10.0,true,true,15,45
10.0,true,true,20,39
10.0,true,true,25,39
0.0,false,false,0,32
10.0,false,true,10,43
10.0,false,true,15,47
10.0,false,true,20,44
10.0,false,true,25,45
0.0,false,true,10,42
0.0,false,true,15,42
0.0,false,true,20,43
0.0,false,true,25,41
5.0,true,true,10,47
5.0,true,true,15,43
5.0,true,true,20,40
5.0,true,true,25,51
10.0,true,true,10,46
10.0,true,true,15,39
10.0,true,true,20,41
10.0,true,true,25,32
0.0,false,false,0,41
10.0,false,true,10,44
10.0,false,true,15,45
10.0,false,true,20,48
10.0,false,true,25,44
0.0,false,true,10,47
0.0,false,true,15,40
0.0,false,true,20,44
0.0,false,true,25,42
5.0,true,true,10,45
5.0,true,true,15,41
5.0,true,true,20,50
5.0,true,true,25,35
10.0,true,true,10,38
10.0,true,true,15,43
10.0,true,true,20,44
10.0,true,true,25,36
0.0,false,false,0,40
10.0,false,true,10,44
10.0,false,true,15,47
10.0,false,true,20,44
10.0,false,true,25,41
0.0,false,true,10,37
0.0,false,true,15,40
0.0,false,true,20,42
0.0,false,true,25,45
5.0,true,true,10,40
5.0,true,true,15,40
5.0,true,true,20,42
5.0,true,true,25,41
10.0,true,true,10,40
10.0,true,true,15,43
10.0,true,true,20,45
10.0,true,true,25,38
0.0,false,false,0,35
10.0,false,true,10,44
10.0,false,true,15,43
10.0,false,true,20,44
10.0,false,true,25,41
0.0,false,true,10,37
0.0,false,true,15,43
0.0,false,true,20,50
0.0,false,true,25,46
5.0,true,true,10,43
5.0,true,true,15,48
5.0,true,true,20,40
5.0,true,true,25,42
10.0,true,true,10,41
10.0,true,true,15,44
10.0,true,true,20,44
10.0,true,true,25,39
0.0,false,false,0,39
10.0,false,true,10,43
10.0,false,true,15,39
10.0,false,true,20,45
10.0,false,true,25,49
0.0,false,true,10,46
0.0,false,true,15,38
0.0,false,true,20,40
0.0,false,true,25,42
5.0,true,true,10,40
5.0,true,true,15,42
5.0,true,true,20,38
5.0,true,true,25,46
10.0,true,true,10,43
10.0,true,true,15,44
10.0,true,true,20,34
10.0,true,true,25,42
0.0,false,false,0,40
10.0,false,true,10,45
10.0,false,true,15,42
10.0,false,true,20,51
10.0,false,true,25,42
0.0,false,true,10,40
0.0,false,true,15,45
0.0,false,true,20,44
0.0,false,true,25,42
5.0,true,true,10,43
5.0,true,true,15,44
5.0,true,true,20,38
5.0,true,true,25,43
10.0,true,true,10,36
10.0,true,true,15,35
10.0,true,true,20,40
10.0,true,true,25,45
0.0,false,false,0,23
10.0,false,true,10,42
10.0,false,true,15,45
10.0,false,true,20,44
10.0,false,true,25,41
0.0,false,true,10,39
0.0,false,true,15,29
0.0,false,true,20,46
0.0,false,true,25,44
5.0,true,true,10,42
5.0,true,true,15,40
5.0,true,true,20,43
5.0,true,true,25,42
10.0,true,true,10,44
10.0,true,true,15,49
10.0,true,true,20,37
10.0,true,true,25,41
0.0,false,false,0,41
10.0,false,true,10,42
10.0,false,true,15,44
10.0,false,true,20,37
10.0,false,true,25,44
0.0,false,true,10,40
0.0,false,true,15,43
0.0,false,true,20,42
0.0,false,true,25,45
5.0,true,true,10,50
5.0,true,true,15,36
5.0,true,true,20,45
5.0,true,true,25,41
10.0,true,true,10,42
10.0,true,true,15,42
10.0,true,true,20,49
10.0,true,true,25,40
0.0,false,false,0,35
10.0,false,true,10,45
10.0,false,true,15,44
10.0,false,true,20,39
10.0,false,true,25,46
0.0,false,true,10,43
0.0,false,true,15,45
0.0,false,true,20,36
0.0,false,true,25,42
5.0,true,true,10,40
5.0,true,true,15,41
5.0,true,true,20,36
5.0,true,true,25,35
10.0,true,true,10,38
10.0,true,true,15,33
10.0,true,true,20,38
10.0,true,true,25,43
0.0,false,false,0,41
10.0,false,true,10,43
10.0,false,true,15,36
10.0,false,true,20,40
10.0,false,true,25,39
0.0,false,true,10,43
0.0,false,true,15,38
0.0,false,true,20,43
0.0,false,true,25,36
5.0,true,true,10,40
5.0,true,true,15,41
5.0,true,true,20,45
5.0,true,true,25,39
10.0,true,true,10,40
10.0,true,true,15,43
10.0,true,true,20,40
10.0,true,true,25,43
0.0,false,false,0,46
10.0,false,true,10,42
10.0,false,true,15,42
10.0,false,true,20,45
10.0,false,true,25,41
0.0,false,true,10,38
0.0,false,true,15,40
0.0,false,true,20,43
0.0,false,true,25,42
5.0,true,true,10,45
5.0,true,true,15,36
5.0,true,true,20,42
5.0,true,true,25,30
10.0,true,true,10,41
10.0,true,true,15,38
10.0,true,true,20,43
10.0,true,true,25,42
0.0,false,false,0,35
10.0,false,true,10,42
10.0,false,true,15,44
10.0,false,true,20,36
10.0,false,true,25,42
0.0,false,true,10,43
0.0,false,true,15,40
0.0,false,true,20,38
0.0,false,true,25,44
5.0,true,true,10,35
5.0,true,true,15,45
5.0,true,true,20,36
5.0,true,true,25,42
10.0,true,true,10,45
10.0,true,true,15,46
10.0,true,true,20,34
10.0,true,true,25,40
0.0,false,false,0,39
10.0,false,true,10,40
10.0,false,true,15,41
10.0,false,true,20,43
10.0,false,true,25,44
0.0,false,true,10,45
0.0,false,true,15,43
0.0,false,true,20,40
0.0,false,true,25,43
5.0,true,true,10,41
5.0,true,true,15,44
5.0,true,true,20,43
5.0,true,true,25,37
10.0,true,true,10,43
10.0,true,true,15,40
10.0,true,true,20,39
10.0,true,true,25,43
0.0,false,false,0,44
10.0,false,true,10,44
10.0,false,true,15,40
10.0,false,true,20,32
10.0,false,true,25,39
